uuid,name,address,phone,email,birth_date,product,total,amount,customer_lat,customer_long,purchase_date,user_agent,is_user,purchase_flag
0,Cameron Clark,"3743 Carson Shores New Glenn, NC 21452",(447)288-8843x20054,jessica97@dickerson-williams.com,12/7/30,Blue Sweater,$22.50 ,5,36.79817,-11.607334,6/14/99,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1),TRUE,0
1,Melissa Young,"761 Garcia Estate Waynefurt, IN 15125",+1-912-797-8896x755,brownjames@stephenson.org,1/27/93,Black Leggings,$55.99 ,1,-56.379214,-172.666418,7/8/18,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1),FALSE,1
2,Michael Owens,"046 Hanson Mountains Suite 841 Matthewmouth, CO 85573",(248)061-9163,sarahchavez@yahoo.com,4/22/48,Pink Sweater,$19.99 ,3,75.687222,-93.723785,1/27/08,"Mozilla/5.0 (Linux; Android 4.2.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/63.0.800.0 Safari/531.1",TRUE,0
3,,"0785 Steven Hill West Carrietown, LA 14935",001-138-700-8926x2610,glewis@yahoo.com,5/16/20,Blue Sweater,$19.99 ,3,-8.481101,-122.592076,3/8/92,Opera/9.97.(Windows NT 6.2; so-SO) Presto/2.9.173 Version/11.00,TRUE,0
4,Beth Watson,"08408 Rebecca Flats Boydburgh, NC 13029",+1-798-194-1747x9623,garrettmelanie@luna.net,7/13/74,White Blouse,$10.99 ,0,46.256034,170.919374,5/12/99,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1),FALSE,0
5,Joe Levy,"3770 Tracey Parks Apt. 605 Pattersonfort, MI 63047",017-768-8467x3886,tracy72@hotmail.com,9/23/99,Grey Sweater,$22.50 ,6,66.285991,35.739321,6/4/98,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),FALSE,1
6,Miguel Wells,"317 Emily Wells Apt. 492 New Charlesland, AR 62710",001-548-033-6060,tmaddox@yahoo.com,3/29/77,White Blouse,$19.99 ,0,-87.5815525,98.944385,6/5/02,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 6_6 rv:3.0; ber-MA) AppleWebKit/533.41.4 (KHTML, like Gecko) Version/4.1 Safari/533.41.4",TRUE,0
7,Jacqueline Porter,"2439 Brandi Glens East Michael, KS 64713",904-311-6043x4144,turnerrachel@smith-burton.biz,7/9/35,White Blouse,$19.99 ,1,29.73518,-166.235526,6/26/96,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10 7_8 rv:6.0; sa-IN) AppleWebKit/534.31.1 (KHTML, like Gecko) Version/5.0 Safari/534.31.1",TRUE,1
8,Louis Colon,"0284 Julian Trafficway Suite 005 East Caitlin, SC 80931",001-482-908-6886x5203,zburke@yahoo.com,6/18/16,White Blouse,$55.99 ,5,-68.976615,-128.001292,4/23/03,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0),FALSE,1
9,Joshua Zuniga,,001-803-437-2626x986,fsmith@gmail.com,1/26/70,Grey Sweater,$19.99 ,6,67.917955,-176.425014,7/7/09,Mozilla/5.0 (Windows NT 4.0; mt-MT; rv:1.9.0.20) Gecko/2017-12-04 17:14:41 Firefox/3.8,FALSE,1
10,Stephanie Sharp,"9203 Brown Lakes Apt. 835 South Adrianmouth, TX 84161",555.908.9366x81798,nolsen@yahoo.com,11/19/10,White Blouse,$22.50 ,1,15.3794485,3.18261,3/24/93,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 7_9) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/32.0.875.0 Safari/533.2",TRUE,0
11,Luis Mason,"3888 Miranda Green Apt. 811 East Terrystad, MO 27895",665-684-5953x04764,pamelaroberson@roberts-drake.com,6/25/23,Black Leggings,$22.50 ,4,-66.853767,4.492736,4/16/14,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/10.2v8558.0 Mobile/26I611 Safari/531.2",FALSE,1
12,Jesse Smith,"8852 Jeremy Villages Port Robertoton, MN 11306",(605)435-9028x84916,cdelgado@gmail.com,6/28/35,Blue Sweater,$55.99 ,1,58.2839755,105.492813,10/26/08,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.1.7 (KHTML, like Gecko) Version/5.0 Safari/531.1.7",TRUE,1
13,Julia Olsen,"3758 Patrick Rest Suite 336 New Dennisborough, MN 56901",5770886726,woodssandra@wilson.biz,1/26/25,Blue Sweater,$19.99 ,5,13.292334,-14.097971,4/15/01,Opera/8.52.(Windows 98; Win 9x 4.90; es-CL) Presto/2.9.172 Version/10.00,TRUE,0
14,Rita Rodriguez,"778 Romero Fields Apt. 736 Anthonyberg, TN 82917",267-074-8245x74882,,8/20/17,Black Leggings,$55.99 ,6,0.2434465,-10.659818,11/28/11,Mozilla/5.0 (Windows 95; cy-GB; rv:1.9.0.20) Gecko/2010-02-17 00:50:25 Firefox/3.6.20,FALSE,1
15,Paul Freeman,"437 Dana Summit Suite 302 Carriestad, CO 43470",001-525-461-4301x15064,evansstephen@gmail.com,7/7/94,Grey Sweater,$19.99 ,3,-85.53093,-48.65302,6/25/03,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/11.6g1686.0 Mobile/73H904 Safari/536.1",FALSE,1
