name,address,phone,email,birth_date,product,total,amount,customerLat,customerLong,product_desc,purchase_date,user_agent,is_user,tag
Cynthia Chapman   ,"94409 Diane Ranch Apt. 164
North Amber, TX 81438",5723921924,david70@stokes-frye.net,12/4/37,Grey Sweater,$10.99 ,52,-24.710162,136.368217,"Remain which watch indicate all single account. Model share take white hope toward.
Institution also keep actually. Would series protect. Plant top lawyer strategy dinner hair.",4/8/91,Opera/8.72.(Windows 98; Win 9x 4.90; wae-CH) Presto/2.9.185 Version/11.00,TRUE,0
Crystal Wallace,"265 Heather Gateway
East Carolinechester, NC 21307",001-515-368-3455x8578,rushthomas@yahoo.com,11/25/05,Blue Sweater,$22.50 ,1,-7.12258,166.835943,"Best style board remember. Still value such clear likely this. Likely west tough exist.

Positive within total attorney well often.",6/30/11,Opera/8.41.(Windows NT 6.0; ar-QA) Presto/2.9.171 Version/11.00,TRUE,0
Amy Allison,"231 Walker Port
Marioshire, WA 54686",(972)552-9865x586,owilliams@hernandez.com,2/18/80,Grey Sweater,$10.99 ,6,30.222116,-164.898999,"Produce too military thus Mr win. Develop focus act ok all pass system.
Design natural fire power argue. Subject whom no.
Health human contain industry little.",2/26/95,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.0),FALSE,0
,,,,,,,,,,,,,,
Todd Johnson,"890 Kirby Roads
Kariberg, GA 35157",(251)835-8299,stacyandrews@yahoo.com,12/27/95,Dark Grey Suit,$19.99 ,0,22.2841965,-49.244951,Mission music heavy significant. Suggest crime class get. Even way new main avoid easy design young.,10/5/17,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; nl-NL) AppleWebKit/531.29.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.29.4",TRUE,0
Todd Johnson,"890 Kirby Roads
Kariberg, GA 35157",(251)835-8299,stacyandrews@yahoo.com,12/27/95,Dark Grey Suit,$19.99 ,0,22.2841965,-49.244951,Mission music heavy significant. Suggest crime class get. Even way new main avoid easy design young.,10/5/17,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; nl-NL) AppleWebKit/531.29.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.29.4",TRUE,0
Tara Coleman,"72781 Paula Turnpike
East Jacob, WA 71951",+1-623-699-7016x083,qmerritt@gmail.com,9/12/10,Grey Sweater,$55.99 ,5,3.3912645,62.015443,"Challenge improve term hot. Billion church maintain teacher.
Hear provide season perform air him street candidate. Rock talk take happen.
Thousand food figure.",12/12/14,Opera/9.88.(Windows NT 4.0; tg-TJ) Presto/2.9.182 Version/12.00,TRUE,0
Jonathan Lewis,"0120 Nelson Ferry Apt. 479
West Matthew, TN 62155",984-761-8759x2087,mlang@brady-wilson.com,3/26/08,Grey Sweater,$22.50 ,2,-88.423026,-84.81986,Relationship especially race kind actually good. Least main now memory maybe visit. Stage century together fish reflect message week.,1/20/17,Mozilla/5.0 (Android 1.5; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0,TRUE,1
Mrs. Debra Rivera MD,"958 Mcmahon Dale
Leslieton, ID 81174",(737)254-4623,rushronald@cortez-shepherd.com,5/27/60,Black Leggings,$19.99 ,0,-67.7273695,-127.356503,"Feel certainly hospital. Plan sense speak final. Either each couple near.
Run church and pattern eight major. Sometimes quickly wonder decide office between.",7/8/09,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2017-07-31 18:27:32 Firefox/3.6.6,FALSE,0
Sharon Thomas,"157 Anthony Forges Suite 098
West Benjamin, UT 20883",001-877-727-2611,ianwilliams@gmail.com,4/29/65,White Blouse,$22.50 ,5,-53.6509535,-143.735916,Serve central control church. Since sign mind apply ball effect. Pull pretty dog walk.,12/7/06,Opera/9.50.(X11; Linux i686; bn-IN) Presto/2.9.184 Version/10.00,FALSE,1
Michael Cole,"8935 Wright Lodge Apt. 831
East Martin, TX 48246",(470)624-7163,igreen@hotmail.com,3/18/20,White Blouse,$19.99 ,6,-59.596114,-131.6324,As training fund once lose local. Impact hotel drive reach. Hotel amount drop toward. Future watch suggest performance age impact thank.,4/12/95,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 12_7 rv:6.0; os-RU) AppleWebKit/533.19.1 (KHTML, like Gecko) Version/4.0 Safari/533.19.1",TRUE,0
,,,,,,,,,,,,,,
Tammie Mills,"754 Briggs Spring
Port Zacharyborough, NH 95355",1191002214,terripeterson@cortez.com,12/4/93,Grey Sweater,$55.99 ,1,-1.9768655,172.499243,Card imagine single possible hospital seven. Plan with event despite television.,8/14/91,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),FALSE,1
Brett Brown,"25777 Edwards Lodge Apt. 239
Perezmouth, WY 30572",751.787.1979x84915,johnstonjulie@gmail.com,3/23/09,Blue Sweater,$22.50 ,2,-69.4271765,-13.436164,"World compare some feeling. Worry exist church laugh full.
Market shake national success million develop pass. Nation minute land. Tend west morning letter left image.",2/19/14,Opera/8.16.(X11; Linux i686; vi-VN) Presto/2.9.184 Version/11.00,TRUE,1
Jessica Macias,"13912 Lee Ports Suite 507
Gregoryhaven, WA 59871",001-237-496-2084,bobby30@huffman.com,10/15/22,Black Leggings,$55.99 ,2,-32.733705,-92.16662,"Least art international staff just dark look. Process course different form.
Material research future option somebody. Recently kind five network. Red source hospital people.",7/24/02,Opera/9.26.(Windows NT 6.0; br-FR) Presto/2.9.171 Version/12.00,FALSE,1
Sharon Spencer,"4193 Williams Rapids Apt. 679
Kimberlychester, CA 52683",001-200-141-9027x9101,andrew72@gmail.com,11/6/10,Pink Sweater,$22.50 ,6,-1.770796,88.501633,About all oil market develop. Standard somebody sister way kind their write edge. Eight act without street generation anything.,1/8/93,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),TRUE,0
Christine Buckley,"9700 Michael Street Suite 726
North Vanessa, NV 58541",854522570,lambertsteven@hotmail.com,8/17/52,Pink Sweater,,3,-69.192627,94.903411,"Remain place prove argue wind television. Huge itself officer million.
Candidate decision military everybody public. Wrong money necessary space material mouth similar. Rule star impact history.",7/22/93,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.0),FALSE,1
Ryan Robinson,"20919 Parker Point
Walkerland, WY 01265",4754326114,jonespamela@smith.com,10/7/23,Blue Sweater,$10.99 ,4,10.534974,151.650413,Those analysis majority. Machine avoid age sort safe again. Protect cost father game film large watch.,5/16/09,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/29.0.879.0 Mobile/99J283 Safari/532.2",FALSE,0
Gabriela Robinson,"0923 John Mountains Apt. 008
Johntown, IL 57847",(022)393-5069x28700,brendastephens@gmail.com,9/13/01,Pink Sweater,$55.99 ,3,27.7512605,-48.058777,"Beyond even option strategy especially bar moment. Keep girl seem find subject.
Audience condition later more group sell fall. Test rule current. Already test check fund sell.",12/3/98,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/535.41.5 (KHTML, like Gecko) Version/5.0 Safari/535.41.5",FALSE,1
David Jordan,"07022 Baxter Orchard Suite 352
Jackport, IN 47924",5084078232,douglasmorris@gmail.com,11/1/05,Black Leggings,$22.50 ,3,64.365242,-33.560828,Back score treatment page economic water act. Reason sing challenge system surface. Just born environmental travel edge.,12/3/07,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 6_5; rv:1.9.3.20) Gecko/2020-10-24 06:06:18 Firefox/3.8,FALSE,0
Kathleen Leon,"23479 Christine Roads Suite 657
Mariaside, ME 02747",,matthew85@hunt-roach.info,2/6/89,Black Leggings,$19.99 ,4,-55.820696,73.930188,"Stage why rock environmental present sell side. Easy seek program rule fish apply. Live pattern relate actually loss skill sense.
Happen end lay off our space try. Body set clear throughout dark.",10/24/92,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; cv-RU) AppleWebKit/533.7.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6533.7.3",TRUE,0
